timestamp,dr7fd3,drkmbf,dr7vtr,drk7tw,drk5jp,drkezj,drkw1u,drkvcy
2018-10-05 21:00:00,39.055,25.788,6.844,8.186,33.617,4.634,2.334,1.473
2018-10-05 22:00:00,27.968,21.503,4.64,5.743,21.416,2.814,1.147,0.732
2018-10-05 23:00:00,20.407,16.339,3.222,3.826,13.908,1.778,0.817,0.557
2018-10-06 00:00:00,17.012,13.839,2.161,2.837,10.398,1.595,0.626,0.365
2018-10-06 01:00:00,16.139,13.535,1.589,2.607,8.708,1.053,0.354,0.279
2018-10-06 02:00:00,15.424,14.851,1.349,2.167,7.471,1.042,0.335,0.294
2018-10-06 03:00:00,13.049,14.225,1.181,1.977,7.066,1.061,0.251,0.26
2018-10-06 04:00:00,13.593,14.26,1.131,2.178,6.955,1.186,0.233,0.266
2018-10-06 05:00:00,14.901,15.99,1.211,2.282,7.366,1.188,0.214,0.346
2018-10-06 06:00:00,17.874,17.78,1.584,2.077,9.296,1.36,0.624,0.415
2018-10-06 07:00:00,20.123,21.284,1.76,2.741,11.056,1.989,0.777,0.534
2018-10-06 08:00:00,21.326,23.277,2.314,3.536,14.138,2.264,0.895,0.538
2018-10-06 09:00:00,23.665,26.798,2.358,4.028,16.388,3.148,1.034,0.721
2018-10-06 10:00:00,26.656,29.775,2.962,5.458,21.626,3.814,1.208,0.944
2018-10-06 11:00:00,29.153,33.184,3.143,6.862,27.901,4.384,1.378,1.034
2018-10-06 12:00:00,30.988,35.896,3.825,7.699,30.852,5.335,1.663,1.453
2018-10-06 13:00:00,31.912,37.7,3.632,7.914,30.741,5.951,1.931,1.502
2018-10-06 14:00:00,33.051,39.832,3.983,8.269,31.668,6.443,2.086,1.653
2018-10-06 15:00:00,34.505,41.754,4.439,8.534,33.801,6.981,2.202,1.776
2018-10-06 16:00:00,40.762,45.08,5.429,8.792,35.099,7.258,2.792,2.411
2018-10-06 17:00:00,41.638,44.773,5.513,8.262,32.786,7.139,2.927,2.26
2018-10-06 18:00:00,38.106,42.514,5.032,8.349,32.216,6.877,2.439,2.155
2018-10-06 19:00:00,35.11,39.967,4.84,8.004,30.448,6.592,2.492,1.981
2018-10-06 20:00:00,34.518,36.978,4.68,7.68,27.388,5.697,2.652,1.905
2018-10-06 21:00:00,29.712,31.941,4.07,6.996,25.242,4.951,1.887,1.91
2018-10-06 22:00:00,23.406,27.306,3.533,6.18,22.044,3.914,1.329,1.509
2018-10-06 23:00:00,19.51,24.039,2.902,5.38,18.793,3.148,1.036,1.154
2018-10-07 00:00:00,16.881,21.646,2.077,4.683,14.252,2.742,0.707,0.958
2018-10-07 01:00:00,14.962,20.748,1.93,4.428,12.904,2.285,0.625,1.005
2018-10-07 02:00:00,17.021,21.304,2.183,4.249,12.513,2.417,0.65,1.091
2018-10-07 03:00:00,17.486,20.301,2.126,4.324,12.428,2.362,0.644,1.148
2018-10-07 04:00:00,18.526,20.552,2.103,4.784,13.767,2.924,0.738,1.35
2018-10-07 05:00:00,21.382,24.433,2.371,5.655,18.842,4.25,0.772,1.721
2018-10-07 06:00:00,26.887,29.046,3.731,6.85,23.619,5.07,1.249,2.222
2018-10-07 07:00:00,39.28,39.054,6.239,8.485,33.329,6.0,1.809,2.307
2018-10-07 08:00:00,55.39,58.832,7.843,12.817,52.97,8.049,2.343,3.207
2018-10-07 09:00:00,74.478,89.228,11.08,16.638,75.277,11.803,3.277,4.307
2018-10-07 10:00:00,94.617,120.603,15.055,21.193,97.263,16.094,4.402,5.427
2018-10-07 11:00:00,123.644,174.817,21.335,29.586,135.516,20.18,6.001,6.975
2018-10-07 12:00:00,158.32,239.547,29.816,42.885,193.994,30.938,10.383,10.375
2018-10-07 13:00:00,184.731,290.19,39.581,55.416,247.925,49.401,18.433,17.257
2018-10-07 14:00:00,225.926,338.309,52.067,66.445,298.962,64.609,25.749,23.732
2018-10-07 15:00:00,266.2,354.076,60.554,72.168,325.861,74.857,30.875,28.701
2018-10-07 16:00:00,268.504,339.438,59.991,68.28,304.123,75.376,31.655,28.037
2018-10-07 17:00:00,225.944,281.003,50.797,55.914,250.22,65.243,26.689,24.226
2018-10-07 18:00:00,167.138,209.995,40.22,42.123,188.569,53.264,21.887,20.04
2018-10-07 19:00:00,138.028,160.95,33.86,33.618,149.735,46.179,20.103,17.535
2018-10-07 20:00:00,116.96,124.565,28.651,29.733,129.719,31.851,14.525,12.6
2018-10-07 21:00:00,92.86,91.836,22.604,25.936,111.728,18.37,9.244,7.641
2018-10-07 22:00:00,70.99,71.659,18.181,19.168,81.239,12.419,6.595,4.896
2018-10-07 23:00:00,53.267,53.748,13.064,14.228,57.383,7.756,4.02,3.016
2018-10-08 00:00:00,36.755,44.218,9.398,12.734,46.673,5.33,2.38,1.874
2018-10-08 01:00:00,34.267,36.586,6.756,10.264,37.647,3.702,1.559,1.57
2018-10-08 02:00:00,31.262,33.218,5.466,7.394,26.092,3.172,1.252,1.383
2018-10-08 03:00:00,28.147,30.721,4.457,6.654,22.709,2.872,1.31,1.205
2018-10-08 04:00:00,32.209,33.217,3.986,5.95,20.732,3.449,1.327,1.385
2018-10-08 05:00:00,39.957,40.752,4.914,6.846,25.391,4.67,1.712,1.888
2018-10-08 06:00:00,42.637,44.679,3.998,6.995,29.459,5.575,1.899,1.742
2018-10-08 07:00:00,44.019,47.365,4.599,7.007,29.128,5.092,1.833,1.313
2018-10-08 08:00:00,39.954,47.311,4.73,6.694,29.397,4.72,1.598,1.118
2018-10-08 09:00:00,36.707,44.307,4.894,5.996,29.072,4.171,1.524,1.115
2018-10-08 10:00:00,34.378,42.287,3.773,5.876,28.762,4.356,1.349,0.893
2018-10-08 11:00:00,32.624,42.067,4.022,6.757,31.348,4.368,1.37,0.852
2018-10-08 12:00:00,31.241,40.966,4.648,6.501,28.416,4.057,1.181,0.903
2018-10-08 13:00:00,29.397,38.263,3.519,6.038,23.543,4.09,1.072,0.903
2018-10-08 14:00:00,28.807,35.093,2.48,5.787,20.774,3.74,1.19,0.918
2018-10-08 15:00:00,28.005,33.266,2.371,5.547,20.053,3.693,1.27,0.918
2018-10-08 16:00:00,32.427,34.17,3.114,6.246,21.926,5.042,1.768,1.857
2018-10-08 17:00:00,32.875,31.976,3.367,6.34,21.926,5.569,2.145,1.912
2018-10-08 18:00:00,31.635,29.293,3.501,6.098,21.366,5.34,1.461,1.621
2018-10-08 19:00:00,29.802,28.695,3.538,6.2,20.701,5.162,1.778,1.632
2018-10-08 20:00:00,28.115,26.735,3.289,6.068,19.273,4.998,1.893,1.369
2018-10-08 21:00:00,24.658,25.466,2.618,5.497,17.204,4.564,1.392,1.231
2018-10-08 22:00:00,19.51,21.625,2.225,4.655,13.921,2.735,0.89,0.998
2018-10-08 23:00:00,15.094,18.495,1.757,3.879,10.854,2.075,0.482,0.709
2018-10-09 00:00:00,13.902,16.751,1.471,3.719,9.211,1.751,0.435,0.674
2018-10-09 01:00:00,13.743,15.506,1.47,3.603,8.698,1.352,0.35,0.644
2018-10-09 02:00:00,14.09,17.767,1.533,3.542,8.46,1.459,0.389,0.716
2018-10-09 03:00:00,14.027,19.77,1.793,3.466,8.792,1.833,0.609,0.94
2018-10-09 04:00:00,19.882,23.491,2.188,4.052,11.46,1.94,0.702,1.123
